Drop-Off Site Name,Borough,Site Location,Days,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Start Time,End Time
Brooklyn Borough Hall Greenmarket,Brooklyn,"Court St & Montague St, Brooklyn, NY 11201",Saturday & Thursday,N,N,N,Y,N,Y,N,"8
",16
Burnside Ave,Bronx,"Burnside Ave, Jerome Ave - SW Corner",Friday,N,N,N,N,Y,N,N,7,10
Carroll Gardens Greenmarket,Brooklyn,"Carroll St. btwn Smith & Court Sts, Brooklyn, NY 11231",Sunday,N,N,N,N,N,N,Y,8,13
Cathedral Parkway (110th St),Manhattan,110th & Central Park West - NW Corner,Wednesday,N,N,Y,N,N,N,N,6,10
Central Park North (110th St),Manhattan,"110th, St. Nicholas, & Malcolm X - NW Corner (Public Plaza)",Wednesday,N,N,Y,N,N,N,N,7,10
Church of the Mediator/La Iglesia El Mediador,Bronx,W 231 St & Kingsbridge Ave,Tuesday,N,Y,N,N,N,N,N,8,10
Columbia University Greenmarket,Manhattan,"Broadway at West 114 St,New York,NY,10025",Sunday & Thursday,N,N,N,Y,N,N,Y,8,15
Commuter Composting at 1st Ave and 1st St.,Manhattan,First Avenue between Houston and First Street (west side),Monday & Wednesday & Friday,Y,N,Y,N,Y,N,N,8,11
Commuter Composting at 21st Street F train,Queens,NW Corner of 21st street at 41st Ave,Tuesday,N,Y,N,N,N,N,N,8,11
Commuter Composting at 23rd Street C/E,Manhattan,"West 23rd Street and 8th Avenue (SW corner), New York, NY 10011",Tuesday & Thursday,N,Y,N,Y,N,N,N,8,11
